"DATE__C","STATE__C","CURED__C","DEATHS__C","CONFIRMED__C","ERROR"
"2020-03-26T00:00:00Z","Andaman and Nicobar Islands","0","0","1","STRING_TOO_LONG:State: data value too large: Andaman and Nicobar Islands
Error fields: State__c "
"2020-03-27T00:00:00Z","Andaman and Nicobar Islands","0","0","1","STRING_TOO_LONG:State: data value too large: Andaman and Nicobar Islands
Error fields: State__c "
"2020-03-28T00:00:00Z","Andaman and Nicobar Islands","0","0","6","STRING_TOO_LONG:State: data value too large: Andaman and Nicobar Islands
Error fields: State__c "
"2020-03-29T00:00:00Z","Andaman and Nicobar Islands","0","0","9","STRING_TOO_LONG:State: data value too large: Andaman and Nicobar Islands
Error fields: State__c "
"2020-03-30T00:00:00Z","Andaman and Nicobar Islands","0","0","9","STRING_TOO_LONG:State: data value too large: Andaman and Nicobar Islands
Error fields: State__c "
"2020-03-31T00:00:00Z","Andaman and Nicobar Islands","0","0","10","STRING_TOO_LONG:State: data value too large: Andaman and Nicobar Islands
Error fields: State__c "
"2020-04-01T00:00:00Z","Andaman and Nicobar Islands","0","0","10","STRING_TOO_LONG:State: data value too large: Andaman and Nicobar Islands
Error fields: State__c "
"2020-04-02T00:00:00Z","Andaman and Nicobar Islands","0","0","10","STRING_TOO_LONG:State: data value too large: Andaman and Nicobar Islands
Error fields: State__c "
"2020-04-03T00:00:00Z","Andaman and Nicobar Islands","0","0","10","STRING_TOO_LONG:State: data value too large: Andaman and Nicobar Islands
Error fields: State__c "
"2020-04-04T00:00:00Z","Andaman and Nicobar Islands","0","0","10","STRING_TOO_LONG:State: data value too large: Andaman and Nicobar Islands
Error fields: State__c "
"2020-04-05T00:00:00Z","Andaman and Nicobar Islands","0","0","10","STRING_TOO_LONG:State: data value too large: Andaman and Nicobar Islands
Error fields: State__c "
"2020-04-06T00:00:00Z","Andaman and Nicobar Islands","0","0","10","STRING_TOO_LONG:State: data value too large: Andaman and Nicobar Islands
Error fields: State__c "
"2020-04-07T00:00:00Z","Andaman and Nicobar Islands","0","0","10","STRING_TOO_LONG:State: data value too large: Andaman and Nicobar Islands
Error fields: State__c "
"2020-04-08T00:00:00Z","Andaman and Nicobar Islands","0","0","10","STRING_TOO_LONG:State: data value too large: Andaman and Nicobar Islands
Error fields: State__c "
"2020-04-09T00:00:00Z","Andaman and Nicobar Islands","0","0","11","STRING_TOO_LONG:State: data value too large: Andaman and Nicobar Islands
Error fields: State__c "
"2020-04-10T00:00:00Z","Andaman and Nicobar Islands","0","0","11","STRING_TOO_LONG:State: data value too large: Andaman and Nicobar Islands
Error fields: State__c "
"2020-04-11T00:00:00Z","Andaman and Nicobar Islands","0","0","11","STRING_TOO_LONG:State: data value too large: Andaman and Nicobar Islands
Error fields: State__c "
